DECISION,Acronym,What it stands for,Why we suggested that,Group,User typed the acronym,Used in a longer search,User typed the long name,First searched,Times in documents,Times in titles,In UNTERM,UNTERM says,Agrees with us,UNTERM link,Anything to watch out for,Rule to paste into documents.sr
Yes,unfccc,united nations framework convention climate change,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-09-20,5038,62,Yes,United Nations Framework Convention on Climate Change,Matches,https://unterm.un.org/unterm2/en/view/8e73a1c6-f1fb-4575-a962-82cc432a3ccf,,"unfccc +> ?""united nations framework convention climate change"";"
Yes,chp,combined heat power,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2024-01-10,595,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/73e8f31c-aed1-482d-be85-f81f9a8e8975,,"chp +> ?""combined heat power"";"
Yes,esia,environmental social impact assessment,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2026-08-11,496,,Yes,environmental and social impact assessment,Matches,https://unterm.un.org/unterm2/en/view/fdb6ce7b-8919-4574-bbac-7b31821cbe6c,,"esia +> ?""environmental social impact assessment"";"
Yes,cdm,clean development mechanism,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2024-11-15,487,2,Yes,Clean Development Mechanism,Matches,https://unterm.un.org/unterm2/en/view/b528b80d-2715-4416-b5df-0d88facae1cc,,"cdm +> ?""clean development mechanism"";"
Yes,iucn,international union conservation nature,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2024-11-28,460,5,Yes,International Union for Conservation of Nature and Natural Resources,Close,https://unterm.un.org/unterm2/en/view/d4370042-f301-4453-83fe-1cf4c7f02d53,,"iucn +> ?""international union conservation nature"";"
Yes,msw,municipal solid waste,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2024-11-15,428,,Yes,municipal solid waste,Matches,https://unterm.un.org/unterm2/en/view/68daa5ad-63fa-4d45-992a-94b1f7cca47d,,"msw +> ?""municipal solid waste"";"
Yes,sasb,sustainability accounting standards board,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2025-12-17,396,1,Yes,Sustainability Accounting Standards Board,Matches,https://unterm.un.org/unterm2/en/view/554e2702-4af0-46b9-b215-4abb9cdf4caf,,"sasb +> ?""sustainability accounting standards board"";"
Yes,ifad,international fund agricultural development,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2024-11-21,341,,Yes,International Fund for Agricultural Development,Matches,https://unterm.un.org/unterm2/en/view/a9aa66c8-e194-47a1-8c3c-bff16982e023,,"ifad +> ?""international fund agricultural development"";"
Yes,eclac,economic commission latin america caribbean,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2026-05-08,308,,Yes,Economic Commission for Latin America and the Caribbean,Matches,https://unterm.un.org/unterm2/en/view/363f100e-2b5b-4298-aea5-eac762c501f9,,"eclac +> ?""economic commission latin america caribbean"";"
Yes,carb,california air resources board,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-09-24,297,2,Yes,California Air Resources Board,Matches,https://unterm.un.org/unterm2/en/view/530f5c9b-7c9a-4088-925c-c32f95184eff,,"carb +> ?""california air resources board"";"
Yes,pra,paperwork reduction act,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2023-11-27,273,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/15bae484-8ae0-4396-b737-5d73f4ddb9d7,,"pra +> ?""paperwork reduction act"";"
Yes,tossd,total official support sustainable development,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2026-07-22,256,,Yes,total official support for sustainable development,Matches,https://unterm.un.org/unterm2/en/view/66dafd22-2d45-4069-9e56-4190e45de981,,"tossd +> ?""total official support sustainable development"";"
Yes,ebrd,european bank reconstruction development,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-01-13,247,,Yes,European Bank for Reconstruction and Development,Matches,https://unterm.un.org/unterm2/en/view/c8de8e0e-2815-470c-b873-98159dab1833,,"ebrd +> ?""european bank reconstruction development"";"
Yes,sme,small medium sized enterprises,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2023-10-02,237,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/e522b4bd-99bc-47c4-86fa-3a80ef4213f4,,"sme +> ?""small medium sized enterprises"";"
Yes,tna,technology needs assessment,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2024-06-04,226,2,Yes,technology needs assessment,Matches,https://unterm.un.org/unterm2/en/view/013bef7c-709d-4208-a060-a7672177dd42,,"tna +> ?""technology needs assessment"";"
Yes,usaid,united states agency international development,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2024-02-28,214,,Yes,United States Agency for International Development,Matches,https://unterm.un.org/unterm2/en/view/ef2382cd-50ca-4659-8ab5-48b22d1de9d0,,"usaid +> ?""united states agency international development"";"
Yes,noaa,national oceanic atmospheric administration,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-03-25,212,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/93161a05-e6a0-47de-94ba-98238a5cc848,,"noaa +> ?""national oceanic atmospheric administration"";"
Yes,cng,compressed natural gas,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2024-02-25,205,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/75f37e53-747a-405b-b01c-23702dfc699a,,"cng +> ?""compressed natural gas"";"
Yes,caa,clean air act,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-10-22,195,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/f371e820-5fa4-4924-a01e-63066bae85aa,,"caa +> ?""clean air act"";"
Yes,neeap,national energy efficiency action plan,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-11-25,191,19,Yes,National Energy Efficiency Action Plan,Matches,https://unterm.un.org/unterm2/en/view/78390c73-387c-4ad8-a579-cb4ba757cc71,,"neeap +> ?""national energy efficiency action plan"";"
Yes,unido,united nations industrial development organization,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2023-10-25,153,,Yes,United Nations Industrial Development Organization,Matches,https://unterm.un.org/unterm2/en/view/9f0b4ac9-0cee-4f06-ae59-27b13b7f0d75,,"unido +> ?""united nations industrial development organization"";"
Yes,slr,sea level rise,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,Yes,2024-03-05,143,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/5ddf73c1-33f0-441b-abc5-507b31b7c659,,"slr +> ?""sea level rise"";"
Yes,nda,national designated authority,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2024-05-08,138,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/2e65cbfc-8db7-4d9d-84d2-e17a0786e014,,"nda +> ?""national designated authority"";"
Yes,gva,gross value added,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-04-26,136,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/239d6a90-10ea-48a5-8820-81489d6529b5,,"gva +> ?""gross value added"";"
Yes,fdi,foreign direct investment,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2024-01-24,130,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/4b5da731-ee46-4b23-8a5f-6bcb3f346228,,"fdi +> ?""foreign direct investment"";"
Yes,nrel,national renewable energy laboratory,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2024-07-18,128,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/4092aea9-653b-4d5a-97ef-af8648213e76,,"nrel +> ?""national renewable energy laboratory"";"
Yes,ceq,council environmental quality,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-09-30,128,,No,,,,,"ceq +> ?""council environmental quality"";"
Yes,nccp,national climate change policy,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-09-19,128,2,No,,,,,"nccp +> ?""national climate change policy"";"
Yes,icao,international civil aviation organization,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2025-01-02,127,,Yes,International Civil Aviation Organization,Matches,https://unterm.un.org/unterm2/en/view/ccd3ed0b-3441-44e3-bd22-7b1b156fcee5,,"icao +> ?""international civil aviation organization"";"
Yes,pacczo,projet d adaptation aux changements climatiques dans les zones oasiennes,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2026-08-10,125,,No,,,,,"pacczo +> ?""projet d adaptation aux changements climatiques dans les zones oasiennes"";"
Yes,epr,extended producer responsibility,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-10-23,125,2,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/c4d4300b-b61b-4459-9d79-93cdad097016,,"epr +> ?""extended producer responsibility"";"
Yes,rfs,renewable fuel standard,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2024-04-16,117,6,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/3b7b99b8-ee3c-4486-8a8d-6aa99a128e16,,"rfs +> ?""renewable fuel standard"";"
Yes,corsia,carbon offsetting reduction scheme international aviation,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2024-11-18,117,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/541c5e3e-bb7c-4af5-b032-dc1da5136176,,"corsia +> ?""carbon offsetting reduction scheme international aviation"";"
Yes,itpgrfa,international treaty plant genetic resources food agriculture,"users type this, and it is not an everyday word",1 - Best picks,Yes,No,No,2026-07-27,114,,Yes,International Treaty on Plant Genetic Resources for Food and Agriculture,Matches,https://unterm.un.org/unterm2/en/view/d4fd2cc8-d4d2-49f9-a5d1-f825a8355f1b,,"itpgrfa +> ?""international treaty plant genetic resources food agriculture"";"
Yes,drc,democratic republic congo,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2023-10-04,111,3,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/bb65f90c-eda4-4eef-8cc0-bd11e1bf6f66,,"drc +> ?""democratic republic congo"";"
Yes,aws,automatic weather stations,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,No,2024-12-09,110,,Yes,,no expansion given,https://unterm.un.org/unterm2/en/view/f0dda91a-0cd8-4f48-bd46-d25d91dbd594,,"aws +> ?""automatic weather stations"";"
Yes,ferc,federal energy regulatory commission,"users type this, and it is not an everyday word",1 - Best picks,Yes,Yes,Yes,2025-10-14,109,,No,,,,,"ferc +> ?""federal energy regulatory commission"";"
