acronym	expansion	passages	status	note	rule_line
apr	annual performance report	5860	review	competing: annual performance report (5798); annual project report (62)	"apr +> ?""annual performance report"";"
unccd	united nations convention combat desertification	5247	review	competing: united nations convention combat desertification (5223); united nations framework convention combat desertification (24)	"unccd +> ?""united nations convention combat desertification"";"
unfccc	united nations framework convention climate change	5038	ready		"unfccc +> ?""united nations framework convention climate change"";"
ara	amendment restatement agreement	3976	ready		"ara +> ?""amendment restatement agreement"";"
ipcc	intergovernmental panel climate change	3894	review	competing: intergovernmental panel climate change (3863); inter governmental panel climate change (31)	"ipcc +> ?""intergovernmental panel climate change"";"
gef	global environment facility	3593	review	competing: global environment facility (3412); global environmental facility (148); global environment fund (33)	"gef +> ?""global environment facility"";"
ippu	industrial processes product use	3308	review	competing: industrial processes product use (3090); industrial process product use (111); industrial processes other product use (85)	"ippu +> ?""industrial processes product use"";"
nid	national inventory document	2631	review	competing: national inventory document (2551); national inventor document (80)	"nid +> ?""national inventory document"";"
nir	national inventory report	2542	review	competing: national inventory report (2503); national inventory reports (39)	"nir +> ?""national inventory report"";"
ndc	nationally determined contribution	2476	review	already a rule in passages.sr	"ndc +> ?""nationally determined contribution"";"
undp	united nations development programme	2221	review	competing: united nations development programme (1696); united nations development program (479); united nation development programme (46)	"undp +> ?""united nations development programme"";"
ppg	project preparation grant	2201	ready		"ppg +> ?""project preparation grant"";"
efg	ecosystem functional group	1981	ready		"efg +> ?""ecosystem functional group"";"
gcf	green climate fund	1934	review	competing: green climate fund (1794); green climate fund s (140)	"gcf +> ?""green climate fund"";"
epa	environmental protection agency	1929	review	competing: environmental protection agency (1838); environmental protection agency s (32); environmental protection authority (30)	"epa +> ?""environmental protection agency"";"
fao	food agriculture organization	1826	review	competing: food agriculture organization (1552); food agriculture organisation (197); food agricultural organization (45)	"fao +> ?""food agriculture organization"";"
nap	national adaptation plan	1735	review	competing: national adaptation plan (1424); national climate change adaptation plan (113); national action plan (90)	"nap +> ?""national adaptation plan"";"
pmu	project management unit	1525	review	competing: project management unit (1483); programme management unit (42)	"pmu +> ?""project management unit"";"
gdp	gross domestic product	1411	ready		"gdp +> ?""gross domestic product"";"
gwp	global warming potential	1377	review	competing: global warming potential (1193); global warming potentials (161); global water partnership (23)	"gwp +> ?""global warming potential"";"
ef	emission factor	1366	review	competing: emission factor (945); emission factors (421)	"ef +> ?""emission factor"";"
lpg	liquefied petroleum gas	1347	review	competing: liquefied petroleum gas (611); liquefied petroleum gases (482); liquid petroleum gas (182)	"lpg +> ?""liquefied petroleum gas"";"
gpcc	global precipitation climatology centre	1328	ready		"gpcc +> ?""global precipitation climatology centre"";"
unep	united nations environment programme	1295	review	competing: united nations environment programme (1139); united nations environment program (156)	"unep +> ?""united nations environment programme"";"
iea	international energy agency	1271	ready		"iea +> ?""international energy agency"";"
rli	red list index	1192	ready		"rli +> ?""red list index"";"
eia	energy information administration	1178	review	competing: energy information administration (670); environmental impact assessment (460); environmental impact assessments (26)	"eia +> ?""energy information administration"";"
cbd	convention biological diversity	1176	ready		"cbd +> ?""convention biological diversity"";"
nbsap	national biodiversity strategy action plan	1129	review	competing: national biodiversity strategy action plan (1063); national biodiversity strategies action plan (66)	"nbsap +> ?""national biodiversity strategy action plan"";"
psc	project steering committee	1121	ready		"psc +> ?""project steering committee"";"
pmc	project management cost	985	review	competing: project management cost (817); project management committee (59); project manageme nt cost (57)	"pmc +> ?""project management cost"";"
tnc	third national communication	962	ready		"tnc +> ?""third national communication"";"
eea	european environment agency	924	ready		"eea +> ?""european environment agency"";"
ad	activity data	899	review	competing: activity data (858); anaerobic digestion (41)	"ad +> ?""activity data"";"
ess	environmental social safeguard	864	review	competing: environmental social safeguard (612); environmental social safeguards (232); environmentally sensitive species (20)	"ess +> ?""environmental social safeguard"";"
isric	international soil reference information centre	836	ready		"isric +> ?""international soil reference information centre"";"
cites	convention international trade endangered species	806	ready		"cites +> ?""convention international trade endangered species"";"
eu	european union	806	review	geo synonym -> european union	"eu +> ?""european union"";"
soc	soil organic carbon	781	ready		"soc +> ?""soil organic carbon"";"
esmp	environmental social management plan	752	ready		"esmp +> ?""environmental social management plan"";"
pm	particulate matter	723	review	competing: particulate matter (470); project manager (232); populations maintained (21)	"pm +> ?""particulate matter"";"
sids	small island developing states	681	review	political grouping in ISO data	"sids +> ?""small island developing states"";"
te	terminal evaluation	676	review	competing: terminal evaluation (655); terminal evaluations (21)	"te +> ?""terminal evaluation"";"
napa	national adaptation programme action	675	review	competing: national adaptation programme action (463); national action plan adaptation (60); national adaptation plan action (57)	"napa +> ?""national adaptation programme action"";"
pir	project implementation review	664	review	competing: project implementation review (350); project implementation report (314)	"pir +> ?""project implementation review"";"
ldn	land degradation neutrality	659	ready		"ldn +> ?""land degradation neutrality"";"
qc	quality control	647	ready		"qc +> ?""quality control"";"
who	world health organization	631	review	competing: world health organization (560); world health organisation (71)	"who +> ?""world health organization"";"
uaa	utilised agricultural area	627	review	competing: utilised agricultural area (544); utilised agricultural land area (45); utilized agricultural area (38)	"uaa +> ?""utilised agricultural area"";"
idb	inter american development bank	609	review	competing: inter american development bank (576); inter american developme nt bank (33)	"idb +> ?""inter american development bank"";"
wmo	world meteorological organization	609	review	competing: world meteorological organization (553); world meteorological organisation (56)	"wmo +> ?""world meteorological organization"";"
oda	official development assistance	604	ready		"oda +> ?""official development assistance"";"
qa	quality assurance	597	review	ISO-2 prefix, Qatar	"qa +> ?""quality assurance"";"
mcf	methane correction factor	597	review	competing: methane correction factor (428); methane conversion factor (80); methane conversion factors (58)	"mcf +> ?""methane correction factor"";"
chp	combined heat power	595	ready		"chp +> ?""combined heat power"";"
ncr	national capital region	592	ready		"ncr +> ?""national capital region"";"
adb	asian development bank	581	review	competing: asian development bank (558); african development bank (23)	"adb +> ?""asian development bank"";"
ima	institute marine affairs	580	ready		"ima +> ?""institute marine affairs"";"
bur	biennial update report	573	review	competing: biennial update report (493); biennial update reports (80)	"bur +> ?""biennial update report"";"
sdg	sustainable development goal	565	review	competing: sustainable development goal (466); sustainable development goals (99)	"sdg +> ?""sustainable development goal"";"
ccs	carbon capture storage	562	review	competing: carbon capture storage (541); carbon dioxide capture storage (21)	"ccs +> ?""carbon capture storage"";"
crs	creditor reporting system	537	review	competing: creditor reporting system (490); catholic relief services (47)	"crs +> ?""creditor reporting system"";"
ec	establishing framework achieving climate	517	review	ISO-2 prefix, Ecuador	"ec +> ?""establishing framework achieving climate"";"
btr	biennial transparency report	515	review	competing: biennial transparency report (434); biennial transparency reports (81)	"btr +> ?""biennial transparency report"";"
gap	gender action plan	515	review	competing: gender action plan (475); good agricultural practices (40)	"gap +> ?""gender action plan"";"
esia	environmental social impact assessment	496	ready		"esia +> ?""environmental social impact assessment"";"
cdm	clean development mechanism	487	ready		"cdm +> ?""clean development mechanism"";"
un	united nations	475	ready		"un +> ?""united nations"";"
ee	energy efficiency	474	review	competing: energy efficiency (283); executing entity (158); executing entities (33)	"ee +> ?""energy efficiency"";"
ae	accredited entity	464	ready		"ae +> ?""accredited entity"";"
iucn	international union conservation nature	460	ready		"iucn +> ?""international union conservation nature"";"
esmf	environmental social management framework	447	ready		"esmf +> ?""environmental social management framework"";"
msw	municipal solid waste	428	ready		"msw +> ?""municipal solid waste"";"
slm	sustainable land management	427	ready		"slm +> ?""sustainable land management"";"
fr	federal register	415	review	ISO-2 prefix, France	"fr +> ?""federal register"";"
af	adaptation fund	408	review	ISO-2 prefix, Afghanistan	"af +> ?""adaptation fund"";"
wb	world bank	400	ready		"wb +> ?""world bank"";"
lng	liquefied natural gas	399	review	competing: liquefied natural gas (353); liquified natural gas (46)	"lng +> ?""liquefied natural gas"";"
sasb	sustainability accounting standards board	396	ready		"sasb +> ?""sustainability accounting standards board"";"
ne	not estimated	392	review	ISO-2 prefix, Niger	"ne +> ?""not estimated"";"
indc	intended nationally determined contribution	366	review	competing: intended nationally determined contribution (294); intended nationally determined contributions (72)	"indc +> ?""intended nationally determined contribution"";"
oecd	organisation economic co operation development	366	review	political grouping in ISO data	"oecd +> ?""organisation economic co operation development"";"
drr	disaster risk reduction	364	review	competing: disaster risk reduction (319); deputy resident representative (45)	"drr +> ?""disaster risk reduction"";"
ilo	international labour organization	356	review	competing: international labour organization (276); international labor organization (51); international labour organisation (29)	"ilo +> ?""international labour organization"";"
dac	development assistance committee	353	review	competing: development assistance committee (324); direct air capture (29)	"dac +> ?""development assistance committee"";"
hwp	harvested wood products	346	ready		"hwp +> ?""harvested wood products"";"
cca	climate change adaptation	346	ready		"cca +> ?""climate change adaptation"";"
nepa	national environmental policy act	345	review	competing: national environmental policy act (296); national environmental protection agency (49)	"nepa +> ?""national environmental policy act"";"
cra	congressional review act	342	review	competing: congressional review act (289); climate resilient agriculture (28); climate resilient agricultural (25)	"cra +> ?""congressional review act"";"
ifad	international fund agricultural development	341	ready		"ifad +> ?""international fund agricultural development"";"
hdi	human development index	341	ready		"hdi +> ?""human development index"";"
doc	degradable organic carbon	338	ready		"doc +> ?""degradable organic carbon"";"
apa	administrative procedure act	331	ready		"apa +> ?""administrative procedure act"";"
duv	direct use value	330	review	competing: direct use value (165); direct use values (165)	"duv +> ?""direct use value"";"
ifc	international finance corporation	329	ready		"ifc +> ?""international finance corporation"";"
ms	moderately satisfactory	325	review	competing: moderately satisfactory (224); member states (61); management systems (40)	"ms +> ?""moderately satisfactory"";"
oof	other official flows	322	ready		"oof +> ?""other official flows"";"
car	cordillera administrative region	322	review	competing: cordillera administrative region (201); central african republic (121)	"car +> ?""cordillera administrative region"";"
pif	project identification form	318	ready		"pif +> ?""project identification form"";"
snc	second national communication	313	ready		"snc +> ?""second national communication"";"
no	not occurring	312	review	ISO-2 prefix, Norway	"no +> ?""not occurring"";"
eclac	economic commission latin america caribbean	308	ready		"eclac +> ?""economic commission latin america caribbean"";"
ev	existence values	303	review	competing: existence values (165); electric vehicle (78); electric vehicles (60)	"ev +> ?""existence values"";"
tcfd	task force climate related financial disclosures	300	review	already a rule in documents.sr	"tcfd +> ?""task force climate related financial disclosures"";"
jica	japan international cooperation agency	299	review	competing: japan international cooperation agency (270); japanese international cooperation agency (29)	"jica +> ?""japan international cooperation agency"";"
carb	california air resources board	297	ready		"carb +> ?""california air resources board"";"
esms	environmental social management system	286	ready		"esms +> ?""environmental social management system"";"
mem	ministry energy mines	280	ready		"mem +> ?""ministry energy mines"";"
ndp	national development plan	274	ready		"ndp +> ?""national development plan"";"
pra	paperwork reduction act	273	ready		"pra +> ?""paperwork reduction act"";"
tev	total ecological value	271	review	competing: total ecological value (165); total economic value (73); total economic valuation (33)	"tev +> ?""total ecological value"";"
eib	european investment bank	271	ready		"eib +> ?""european investment bank"";"
eafrd	european agricultural fund rural development	271	ready		"eafrd +> ?""european agricultural fund rural development"";"
bat	best available techniques	271	ready		"bat +> ?""best available techniques"";"
wfp	world food programme	269	review	competing: world food programme (243); world food program (26)	"wfp +> ?""world food programme"";"
