acronym	expansion	titles	status	note	rule_line
nir	national inventory report	645	ready		"nir +> ?""national inventory report"";"
nc	national communication	364	review	competing: national communication (361); national communications (3)	"nc +> ?""national communication"";"
nid	national inventory document	221	ready		"nid +> ?""national inventory document"";"
crt	common reporting table	134	review	competing: common reporting table (131); common reporting tables (3)	"crt +> ?""common reporting table"";"
necp	national energy climate plan	106	review	already a rule in documents.sr	"necp +> ?""national energy climate plan"";"
br	biennial report	84	review	ISO-2 prefix, Brunei Darussalam	"br +> ?""biennial report"";"
bur	biennial update report	83	review	competing: biennial update report (81); biennial update reports (2)	"bur +> ?""biennial update report"";"
unfccc	united nations framework convention climate change	62	review	competing: united nations framework convention climate change (59); united national framework convention climate change (2); united nation framework convention climate change (1)	"unfccc +> ?""united nations framework convention climate change"";"
napa	national adaptation programme action	46	review	competing: national adaptation programme action (30); national adaptation plan action (12); national action programme adaptation (2)	"napa +> ?""national adaptation programme action"";"
btr	biennial transparency report	45	ready		"btr +> ?""biennial transparency report"";"
ndc	nationally determined contribution	26	review	already a rule in passages.sr	"ndc +> ?""nationally determined contribution"";"
nap	national adaptation plan	22	review	competing: national adaptation plan (14); national action plan (2); national climate change adaptation plan (2)	"nap +> ?""national adaptation plan"";"
cdp	carbon disclosure project	20	ready		"cdp +> ?""carbon disclosure project"";"
neeap	national energy efficiency action plan	19	ready		"neeap +> ?""national energy efficiency action plan"";"
glof	glacial lake outburst flood	14	ready		"glof +> ?""glacial lake outburst flood"";"
fbur	first biennial update report	14	ready		"fbur +> ?""first biennial update report"";"
srmi	sustainable renewables risk mitigation initiative	13	ready		"srmi +> ?""sustainable renewables risk mitigation initiative"";"
tnc	third national communication	13	ready		"tnc +> ?""third national communication"";"
detec	department environment transport energy communications	12	ready		"detec +> ?""department environment transport energy communications"";"
ta	technical assistance	12	review	competing: technical assistance (10); technical assessment (2)	"ta +> ?""technical assistance"";"
tcap	tuvalu coastal adaptation project	10	ready		"tcap +> ?""tuvalu coastal adaptation project"";"
nbsap	national biodiversity strategy action plan	10	review	competing: national biodiversity strategy action plan (8); national biodiversity strategic action plan (2)	"nbsap +> ?""national biodiversity strategy action plan"";"
iges	institute global environmental strategies	10	ready		"iges +> ?""institute global environmental strategies"";"
agn	african group negotiators	10	ready		"agn +> ?""african group negotiators"";"
etf	enhanced transparency framework	9	ready		"etf +> ?""enhanced transparency framework"";"
brcrn	building resilient churia region nepal	9	ready		"brcrn +> ?""building resilient churia region nepal"";"
pml	plymouth marine laboratory	9	ready		"pml +> ?""plymouth marine laboratory"";"
crf	common reporting format	9	ready		"crf +> ?""common reporting format"";"
araf	acumen resilient agriculture fund	9	ready		"araf +> ?""acumen resilient agriculture fund"";"
egip	embedded generation investment programme	9	ready		"egip +> ?""embedded generation investment programme"";"
cerp	climate equity reference project	8	ready		"cerp +> ?""climate equity reference project"";"
indc	intended nationally determined contribution	8	ready		"indc +> ?""intended nationally determined contribution"";"
lgma	local governments municipal authorities	8	ready		"lgma +> ?""local governments municipal authorities"";"
nsds	national sustainable development strategy	8	review	competing: national sustainable development strategy (4); national sustainability development strategy (2); national spatial development strategy (2)	"nsds +> ?""national sustainable development strategy"";"
reap	renewable energy auctions policy	8	review	competing: renewable energy auctions policy (2); rural energy america program (2); resilience enhancement through adaptation pacific (2)	"reap +> ?""renewable energy auctions policy"";"
ggw	great green wall	8	ready		"ggw +> ?""great green wall"";"
nreap	national renewable energy action plan	7	ready		"nreap +> ?""national renewable energy action plan"";"
