predictor,low,high,cv_f1_12_mean,cv_f1_12_std,full_f1_12
mention-count,3.700000000000017,308.60000000000014,0.5498580058290093,0.0749300712532629,0.5679357679357679
mention-density,0.0018735644118713008,0.044774726260994414,0.5912078163055451,0.04979750164453102,0.6154729407686641
max-mentions-per-page,2.0,11.199999999999989,0.5392603218405465,0.06890076771521955,0.5385665237881987
max-section-density,0.09090909090909091,1.0,0.4460132915509961,0.07594307050707083,0.46365914786967416
earliest-mention,0.38225324027916247,0.9854126501582999,0.4602111289929631,0.035701782520583564,0.4965460410968511
earliest-mention-page,2.0,43.19999999999999,0.5165956069261297,0.0267155507693782,0.5254544503895289
first-fraction,1.5,16.0,0.47603186854759183,0.06270808055224712,0.5120675105485233
decay-weighted,1.984270124628002,97.3581273356797,0.5726550835483397,0.08476139621263999,0.5693688477127967
first-3-pages,0.0,1.0,0.4548523876597813,0.05541678420483214,0.5089796668126776
first-5-pages,0.0,3.0,0.5579182087241119,0.03495894170623242,0.5592948717948718
first-10-pages,0.0,7.0,0.5724302750654631,0.034266148321053055,0.5750074094872635
first-15-pages,0.0,11.0,0.533237838695056,0.06118651341294794,0.5503001579778831
first-10-pages-density,0.0,0.01563994722084777,0.5660591084667244,0.03827520705060183,0.5735096369341103
tfidf-density-df,0.0017002751623418097,0.03090592353532359,0.579550404250579,0.06593832534581612,0.6086702196802287
tfidf-density-cf,0.009690109023446823,0.09476616777691081,0.5851924500569459,0.06842076445490292,0.6148956207816669
tfidf-count-df,3.8086424305430766,73.60120980974017,0.5039474052106052,0.05138082379912137,0.5124716553287982
tfidf-count-cf,20.734266013496207,404.2366567985442,0.5359587518783664,0.058780317876604114,0.5542280203220529
tfidf-lognorm-df,0.2850703404866309,3.5141825161919438,0.30316145981544146,0.04167592496303856,0.3241159711747947
